bs,CPU,RAM (GB),GPU,switch-base-8/GPU-only,switch-base-16/GPU-only,switch-base-32/GPU-only,switch-base-64/GPU-only,switch-base-128/GPU-only,switch-base-256/GPU-only,switch-large-128/GPU-only,switch-base-8/Pre-gated,switch-base-16/Pre-gated,switch-base-32/Pre-gated,switch-base-64/Pre-gated,switch-base-128/Pre-gated,switch-base-256/Pre-gated,switch-large-128/Pre-gated,switch-base-8/DeepSpeed,switch-base-16/DeepSpeed,switch-base-32/DeepSpeed,switch-base-64/DeepSpeed,switch-base-128/DeepSpeed,switch-base-256/DeepSpeed,switch-large-128/DeepSpeed,switch-base-8/SE-MoE,switch-base-16/SE-MoE,switch-base-32/SE-MoE,switch-base-64/SE-MoE,switch-base-128/SE-MoE,switch-base-256/SE-MoE,switch-large-128/SE-MoE
1,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,0.946295,0.94747,0.941944,0.947347,0.946341,0.961758,0,1.12774,1.1561,1.12122,1.12859,1.12682,1.15676,1.38823,1.88722,1.89436,1.74484,1.77755,1.7899,1.81811,2.63063,6.72681,12.75,27.2462,51.031,101.594,199.715,173.538
2,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,0.921514,0.921938,0.92152,0.930502,0.934136,0.933262,0,1.6891,1.4706,1.46853,1.36086,1.36761,1.53165,2.61154,2.04918,2.40886,1.99153,2.25474,2.08541,2.30232,3.81195,6.96309,12.754,25.4429,50.1533,98.2938,195.979,179.421
4,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,0.922621,0.923572,0.922806,0.926597,0.932423,0.935173,0,1.94299,2.81678,1.94962,1.90796,1.82219,2.557,4.49551,2.54004,3.61603,2.83114,2.70657,2.52839,3.29286,5.06167,6.7838,12.7657,25.4737,49.5569,99.9757,202.841,183.376
8,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,0.93049,0.985994,0.967131,0.948958,0.967444,1.0204,0,1.71805,4.90762,3.56927,2.76708,2.76091,4.55548,7.42402,2.8431,4.48765,3.75821,3.29751,3.18302,4.72703,7.25845,6.87636,12.783,25.4693,50.9902,98.3272,199.59,175.398
16,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,0.963237,1.061,1.00138,0.982204,1.00762,1.1182,0,2.3323,6.07517,4.85194,3.96713,3.76535,7.20608,11.1504,3.30294,6.71042,4.48781,3.85601,4.30526,7.10036,10.4495,6.41607,14.2688,24.8508,50.5415,101.603,203.015,179.636
32,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,1.00509,1.11737,1.06069,1.06599,1.07841,1.28549,0,3.20937,6.11369,6.21455,6.48342,5.84252,11.912,20.4157,4.56558,8.91479,18.4908,7.01444,6.15256,10.4779,15.6192,8.82041,17.9316,34.815,62.1244,115.549,0.0,189.121
