bs,active experts,cache ratio,CPU,RAM (GB),GPU,switch-large-128/DeepSpeed/CPU,switch-large-128/DeepSpeed/SSD
1,0,0.0,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,25,9
1,0,0.01,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,27,10
1,0,0.03,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,28,11
1,0,0.05,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,29,12
1,0,0.1,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,33,15
1,0,0.2,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,41,24
1,0,0.4,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,44,28
1,0,0.8,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,52,52
