bs,active experts,cache ratio,CPU,RAM (GB),GPU,switch-base-64/GPU-only/CPU,switch-base-64/Pre-gated/CPU,switch-base-64/DeepSpeed/CPU,switch-base-64/SE-MoE/CPU
64,1,0,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,7353,6515,4656,210
64,4,0,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,7346,2935,2311,208
64,16,0,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,5585,812,740,209
64,32,0,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,3449,410,381,208
64,64,0,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,1993,199,191,200
