bs,CPU,RAM (GB),GPU,switch-base-128/GPU-only,switch-base-128/Pre-gated,switch-base-128/DeepSpeed,switch-base-128/SE-MoE
1,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,17302421504,2844655616,2825781248,7638745088
8,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,17482776576,3289251840,3138256896,7819100160
16,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,17646354432,3717070848,3433955328,7982678016
