bs,active experts,cache ratio,CPU,RAM (GB),GPU,switch-base-64/GPU-only/CPU,switch-base-64/Pre-gated/CPU,switch-base-64/DeepSpeed/CPU,switch-base-64/SE-MoE/CPU
64,1,0,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,1.01915,1.1984,1.84934,50.1631
64,4,0,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,1.0215,3.172,4.16819,50.7226
64,16,0,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,1.47437,12.6146,13.9402,50.3194
64,32,0,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,2.65401,25.4524,27.4829,50.5967
64,64,0,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,4.90818,52.867,55.0927,52.6355
