bs,active experts,cache ratio,CPU,RAM (GB),GPU,switch-base-8/GPU-only/CPU,switch-base-8/Pre-gated/CPU,switch-base-8/DeepSpeed/CPU,switch-base-8/SE-MoE/CPU
8,1,0,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,0.927483,1.10428,1.73784,6.40082
8,2,0,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,0.925689,1.6287,2.50211,6.3953
8,3,0,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,0.929543,2.4324,3.33587,6.40971
8,4,0,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,0.930664,3.21805,4.10629,6.21414
8,8,0,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,1.07773,6.42256,7.39197,6.24193
