bs,active experts,CPU,RAM (GB),GPU,switch-base-16/GPU-only,switch-base-16/Pre-gated,switch-base-16/DeepSpeed,switch-base-16/SE-MoE
16,1,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,0.934614,1.11046,1.90119,12.755
16,2,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,0.93496,2.10226,2.63282,13.7659
16,4,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,0.93776,3.40498,4.0409,12.7749
16,8,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,1.08334,6.73048,7.24114,12.541
16,16,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,1.39033,15.1704,14.0019,13.237
